Fecha y hora;Departamento;Jurisdicción ;Vehículo;Edad;Sexo;Fallecido a los (Días);Tipo de Siniestro;Otro vehículo;Lugar del Siniestro
04/03/2012 06:30;MALDONADO;NACIONAL;MOTO;30;F;0;CAIDA;-;RUTA 93 
04/03/2012 08:15;COLONIA;NACIONAL;MOTO;20;M;0;DESPISTE;-;RUTA 1 KM 144
04/03/2012 22:45;CERRO LARGO;NACIONAL;MOTO;15;M;0;COLISION ENTRE VEHICULOS;MOTO;RUTA 26 KM 383
04/03/2012 22:45;CERRO LARGO;NACIONAL;MOTO;19;M;1;COLISION ENTRE VEHICULOS;MOTO;RUTA 26 KM 383
07/03/2012 01:05;MONTEVIDEO;DEPARTAMENTAL;AUTO;37;M;0;DESPISTE;-;AVENIDA GENERAL SAN MARTIN esq. AVENIDA GUSTAVO VOLPE
07/03/2012 07:50;MONTEVIDEO;DEPARTAMENTAL;MOTO;27;M;1;COLISION ENTRE VEHICULOS;AUTO;BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. NEIRA
07/03/2012 11:05;MONTEVIDEO;DEPARTAMENTAL;PEATON;71;F;27;ATROPELLO DE PEATON;MOTO;AVENIDA DAMASO ANTONIO LARRAÑAGA esq. SEBASTIAN ELCANO
07/03/2012 13:00;SAN JOSE;NACIONAL;MOTO;19;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 1 KM 78 
07/03/2012 15:15;MALDONADO;DEPARTAMENTAL;MOTO;64;M;0;CAIDA;-;APARICIO SARAVIA Y PEDRAGOSA SIERRA
07/03/2012 23:00;MONTEVIDEO;DEPARTAMENTAL;MOTO;25;M;0;COLISION ENTRE VEHICULOS;MOTO;AVENIDA DOMINGO SARMIENTO Nro. 2652 esq. FRANCISCO AGUILAR
09/03/2012 00:30;DURAZNO;NACIONAL;MOTO;18;F;0;COLISION CON OBSTACULO;-;RUTA 5 KM. 186
09/03/2012 05:05;TREINTA Y TRES;DEPARTAMENTAL;MOTO;51;M;0;CAIDA;-;BOULEVARD FRUCTUOSO DEL PUERTO esq. TENIENTES DE ARTIGAS
10/03/2012 10:00;SALTO;DEPARTAMENTAL;PEATON;78;F;0;ATROPELLO DE PEATON;CAMIONETA;ARTIGAS esq. VEINTICINCO DE AGOSTO
10/03/2012 13:40;CERRO LARGO;NACIONAL;MOTO;71;M;28;COLISION ENTRE VEHICULOS;MOTO;AV. ITALIA Y LAS TROPAS
10/03/2012 13:40;CERRO LARGO;NACIONAL;MOTO;Sin Dato;F;5;COLISION ENTRE VEHICULOS;MOTO;AV. ITALIA Y LAS TROPAS
10/03/2012 23:00;RIVERA;DEPARTAMENTAL;MOTO;21;M;7;COLISION ENTRE VEHICULOS;AUTO;APARICIO SARAVIA Y FCO. ROMERO
10/03/2012 23:55;CANELONES;DEPARTAMENTAL;PEATON;23;F;0;ATROPELLO DE PEATON;AUTO;AVENIDA INGENIERO LUIS GIANNATTASIO esq. AVENIDA AMELIA RAMIREZ DE GARCIA LAGOS
11/03/2012 00:50;SALTO;NACIONAL;MOTO;16;M;0;DESPISTE;-;RUTA 4 KM 113 Y 114 RUMBO A PUEBLO SEQUEIRA
11/03/2012 06:50;COLONIA;DEPARTAMENTAL;MOTO;28;M;0;CAIDA;-;AVENIDA COSTANERA esq. GENERAL RIVERA
12/03/2012 18:50;PAYSANDU;NACIONAL;CAMIONETA;77;M;11;DESPISTE;;RUTA 90 KM. 15
13/03/2012 04:30;PAYSANDU;NACIONAL;MOTO;39;M;0;CAIDA;-;RUTA 26 KM. 68 
13/03/2012 08:26;SORIANO;DEPARTAMENTAL;CAMIONETA;34;M;0;DESPISTE;-;RUTA 96 KM 30
13/03/2012 12:25;MONTEVIDEO;NACIONAL;MOTO;58;M;0;COLISION ENTRE VEHICULOS;CAMION;RUTA CINCO esq. CAMINO FAUQUET
14/03/2012 09:30;MONTEVIDEO;DEPARTAMENTAL;PEATON;86;F;1;ATROPELLO DE PEATON;CAMIONETA;JAIME ROLDOS Y PONS Y ROBINSON
14/03/2012 11:05;CANELONES;DEPARTAMENTAL;PEATON;67;M;0;ATROPELLO DE PEATON;OMNIBUS;JOSE BATLLE Y ORDOÑEZ esq. BALTASAR BRUM
14/03/2012 15:50;COLONIA;NACIONAL;CAMION;60;M;0;COLISION CON OBSTACULO;;RUTA 2 KM. 133 
15/03/2012 04:20;SALTO;DEPARTAMENTAL;MOTO;17;M;0;ATROPELLO DE ANIMALES;-;AVENIDA SARANDI esq. A. LATORRE
15/03/2012 06:00;SALTO;NACIONAL;AUTO;28;M;0;DESPISTE;-;RUTA 31 KM. 62 
15/03/2012 08:05;RIVERA;DEPARTAMENTAL;MOTO;36;M;0;CAIDA;-;SARANDI  esq. BRASIL
17/03/2012 07:35;CANELONES;NACIONAL;MOTO;28;M;0;COLISION ENTRE VEHICULOS;OMNIBUS;RUTA OCHENTA Y CUATRO 
17/03/2012 08:15;PAYSANDU;NACIONAL;AUTO;62;M;0;DESPISTE;;RUTA 26 KM. 136,5 
17/03/2012 20:40;SALTO;DEPARTAMENTAL;PEATON;76;M;15;ATROPELLO DE PEATON;MOTO;ENTRE RIOS Y COLON
17/03/2012 22:50;SAN JOSE;DEPARTAMENTAL;MOTO;25;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 1 esq. Eduardo Pascual
17/03/2012 22:50;SAN JOSE;DEPARTAMENTAL;MOTO;35;M;0;COLISION ENTRE VEHICULOS;CAMIONETA;RUTA 1 esq. Eduardo Pascual
18/03/2012 00:50;MONTEVIDEO;DEPARTAMENTAL;MOTO;50;M;0;COLISION ENTRE VEHICULOS;BICICLETA;AVENIDA GENERAL SAN MARTIN esq. CAMINO DOMINGO ARENA
18/03/2012 00:50;MONTEVIDEO;DEPARTAMENTAL;BICICLETA;29;M;0;COLISION ENTRE VEHICULOS;MOTO;AVENIDA GENERAL SAN MARTIN esq. CAMINO DOMINGO ARENA
18/03/2012 19:30;CANELONES;DEPARTAMENTAL;MOTO;59;M;1;COLISION ENTRE VEHICULOS;CAMIONETA;LA GRUTAS esq. BANDA ORIENTAL
21/03/2012 11:00;CANELONES;NACIONAL;PEATON;77;M;1;ATROPELLO DE PEATON;CAMIONETA;E. MARTINEZ MONEGAL esq. BRIGADIER GENERAL LAVALLEJA
