Fecha y hora;"Departamento";"Localidad";"Jurisdiccion ";"Tipo de Siniestro";"Vehiculo";"Rol";Edad;"Sexo";Fallecido a los Dias;"Otro vehiculo";"Lugar del Siniestro";"X";"Y"
02/01/2018 21:00:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";59;"M";6;"OMNIBUS";"AVENIDA GENERAL EUGENIO GARZON ESQ.ISLAS CANARIAS";"571142.1911";"6144079.3972"
03/01/2018 04:53:00;"MALDONADO";"SAN CARLOS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";20;"M";0;"CAMION";"JACINTO MARIA ALVARIZA ESQ. TREINTA Y TRES";"690204.0954";"6148101.4271"
03/01/2018 08:30:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";28;"M";0;"CAMION";"RUTA 102 KM 28;000";"585614.71";"6149072.53"
03/01/2018 23:21:00;"CANELONES";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";42;"M";0;"CAMION";"RUTA 36 KM 25;600";"564459.66";"6160551.78"
05/01/2018 10:20:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";15;"M";2;"OMNIBUS";"LARRAVIDE ESQ. JOSE ANTONIO CABRERA";"578811.2656";"6140469.7088"
06/01/2018 13:04:00;"RIO NEGRO";"FRAY BENTOS";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";62;"M";2;;"CAMINO SAN SALVADOR ESQ. C. ALZAIBAR";"378317.8154";"6332709.6675"
06/01/2018 10:17:00;"CANELONES";"DR. FRANCISCO SOCA";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";2;"M";1;;"RUTA 8 KM 55;500";"617900.78";"6161290.32"
06/01/2018 16:05:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"DESPISTE";"CAMIONETA";"CONDUCTOR";19;"M";1;;"DOCTOR MARTIN HARRETCHE ESQ. CAMINO CIBILS";"567418.0472";"6138762.7162"
06/01/2018 19:36:00;"CANELONES";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";30;"M";0;"AUTO";"RUTA 11 KM 94;000";"562608.06";"6181485.52"
06/01/2018 22:19:00;"CANELONES";"CIUDAD DE LA COSTA";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";30;"M";0;"AUTO";"RAMBLA COSTANERA ESQ. FLORIANOPOLIS";"599036.28942466";"6147024.62497137"
07/01/2018 17:00:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"MOTO";"CONDUCTOR";63;"M";0;;"RUTA 44 KM 6;500";"731400.01979543";"6404537.21916322"
08/01/2018 01:25:00;"TACUAREMBO";"PASO DE LOS TOROS";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";63;"M";0;"OMNIBUS";"RUTA 5 KM 250;500";"545905.34";"6370146.78"
10/01/2018 15:45:00;"RIO NEGRO";"N/C";"NACIONAL";"DESPISTE";"AUTO";"CONDUCTOR";35;"M";1;;"RUTA 24 KM 77;300";"404927.82";"6393946.94"
12/01/2018 11:55:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";63;"F";0;"CAMIONETA";"RUTA 5 KM 309;000";"570274.52";"6421267.81"
12/01/2018 11:55:00;"TACUAREMBO";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"CAMIONETA";"PASAJERO";17;"M";0;"AUTO";"RUTA 5 KM 309;000";"570274.52";"6421267.81"
13/01/2018 12:30:00;"FLORIDA";"FLORIDA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";55;"M";0;"CAMION";"RUTA 5 KM 100;000";"570532.8";"6229303.85"
13/01/2018 12:30:00;"FLORIDA";"FLORIDA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";52;"F";0;"CAMION";"RUTA 5 KM 100;000";"570532.8";"6229303.85"
13/01/2018 21:54:00;"ROCHA";"CASTILLOS";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";26;"M";1;;"ROCHA ESQ. Cno La Horqueta";"788981.0557";"6211482.8024"
