FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
10/03/2015 20:45;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;64;M;1;OMNIBUS;AVENIDA DOCTOR CARLOS MARIA RAMIREZ esq. FILIPINAS;567525,9143;6140517,363
11/03/2015 12:10;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;69;M;1;AUTO;AVENIDA DOCTOR AMERICO RICALDONI esq. AVENIDA INGENIERO LUIS PONCE;576918,6153;6137939,443
11/03/2015 21:30;CANELONES;LAS PIEDRAS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;71;M;2;MOTO;COLONIA esq. DIECIOCHO DE MAYO;572084,381;6155945,097
12/03/2015 17:46;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;13;F;0;OMNIBUS;AVENIDA LUIS BATLLE BERRES esq. CAMINO DE LOS ORIENTALES;563297,7103;6146802,069
13/03/2015 17:30;MONTEVIDEO;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;61;M;0;AUTO;RUTA DE ACCESO km. 3,500;569829,2441;6140748,694
14/03/2015 16:45;ARTIGAS;FRANQUIA;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;74;M;1;MOTO;RUTA 3 km.;443808,9916;6654007,702
15/03/2015 07:30;DURAZNO;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;34;M;0;;RUTA 5 km. 209;550588,4517;6329045,401
16/03/2015 18:15;TACUAREMBO;TACUAREMBO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;75;M;23;MOTO;GENERAL MANUEL ORIBE esq. ITUZAINGO;596103,6407;6491429,739
17/03/2015 11:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;1;CAMION;CAMINO MALDONADO esq. OSVALDO CRUZ;579926,0762;6143711,393
17/03/2015 14:47;CANELONES;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;CAMION;FRANCISCO ACU¥A DE FIGUEROA esq. GENERAL APARICIO SARAVIA;566212,0698;6178809,683
19/03/2015 07:10;FLORIDA;FLORIDA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;49;F;1;AUTO;DOCTOR ELIAS REGULES esq. NACIONAL F. SANCHEZ;570421,8848;6227028,741
19/03/2015 20:25;DURAZNO;DURAZNO;DEPARTAMENTAL;CAIDA;CARRO;PASAJERO;32;M;26;;CAMINO HORNOS a 500 m al norte de MATIAS DEL RIO;542987,4587;6307889,676
21/03/2015 05:50;MALDONADO;SAN CARLOS;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;43;M;1;;AVENIDA JOSE ENRIQUE RODO esq. CUATRO DE OCTUBRE;689228,5248;6147910,132
21/03/2015 05:50;MALDONADO;SAN CARLOS;DEPARTAMENTAL;DESPISTE;MOTO;PASAJERO;30;F;0;;AVENIDA JOSE ENRIQUE RODO esq. CUATRO DE OCTUBRE;689228,5248;6147910,132
22/03/2015 16:50;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;46;M;0;AUTO;AVENIDA OCHO DE OCTUBRE esq. PERNAS;578219,5024;6140254,367
22/03/2015 19:45;CANELONES;BARRIO COPOLA;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;35;M;0;CAMIONETA;CAMINO ALDABALDE esq. CALLE DIECISIETE METROS;569352,4187;6154165,033
23/03/2015 18:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;37;M;0;CAMION;CAMINO TOMKINSON esq. CAMINO CIBILS;566295,425;6144638,883
24/03/2015 12:44;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;42;F;0;CAMIONETA;CAMINO CIBILS esq. BELGICA;567144,58;6139842,604
24/03/2015 22:20;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;58;M;10;OMNIBUS;AVENIDA JOSE BELLONI esq. AVENIDA GENERAL FLORES;578537,8915;6145632,75
25/03/2015 06:00;MALDONADO;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;23;F;1;CAMIONETA;BOULEVARD GENERAL JOSE G. ARTIGAS esq. DOCTOR ROMAN BERGALLI;687485,3194;6135607,027
25/03/2015 07:25;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;27;M;0;AUTO;RAMBLA O HIGGINS esq. MISSOURI;582656,7658;6138092,158
25/03/2015 09:55;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;61;F;1;AUTO;CAMINO MALDONADO esq. FLORENCIA;581107,4951;6144909,97
