FECHA Y HORA	DEPARTAMENTO	LOCALIDAD	JURISDICCION	TIPO DE SINIESTRO	VEHICULO	ROL	EDAD	SEXO	FALLECIDO A LOS (DIAS)	OTRO VEHICULO	LUGAR DEL SINIESTRO	X	Y
16/01/2016 06:00	PAYSANDU	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	PASAJERO	13	F	0	CAMION	RUTA 3 km. 333	426664,5667	6395315,272
16/01/2016 06:00	PAYSANDU	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	PASAJERO	38	F	0	CAMION	RUTA 3 km. 333	426664,5667	6395315,272
16/01/2016 06:00	PAYSANDU	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	PASAJERO	8	F	0	CAMION	RUTA 3 km. 333	426664,5667	6395315,272
16/01/2016 06:00	PAYSANDU	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	CONDUCTOR	40	M	0	CAMION	RUTA 3 km. 333	426664,5667	6395315,272
16/01/2016 15:35	CANELONES	CIUDAD DE LA COSTA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	23	F	1	AUTO	RUTA INTERBALNEARIA km. 29	597117,8774	6149469,03
17/01/2016 03:28	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	27	F	0	OMNIBUS	BOULEVARD JOSE BATLLE Y ORDOÑEZ esq. JUAN JACOBO ROUSSEAU	577706,8661	6140155,714
17/01/2016 11:14	CANELONES	SALINAS	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	75	F	0	CAMIONETA	RUTA INTERBALNEARIA km. 37,500	605378,3158	6151153,644
17/01/2016 11:14	CANELONES	SALINAS	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	CONDUCTOR	73	M	0	CAMIONETA	RUTA INTERBALNEARIA km. 37,500	605378,3158	6151153,644
19/01/2016 01:00	MONTEVIDEO	MONTEVIDEO	NACIONAL	CAÍDA	MOTO	CONDUCTOR	25	M	25		RUTA 6 km. 17,600	578668,0101	6150480,653
19/01/2016 19:10	ROCHA	N/C	NACIONAL	DESPISTE	AUTO	CONDUCTOR	74	M	1		RUTA 14 km. 273	750763,8441	6276245,239
20/01/2016 18:30	ARTIGAS	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	72	M	0	CAMION	RUTA 30 km. 161	561252,5394	6608981,462
20/01/2016 20:50	LAVALLEJA	MINAS	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	77	F	0	AUTO	RUTA 8 esq. CALLE 180	663786,43	6195807,603
22/01/2016 06:55	PAYSANDU	PAYSANDU	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CUATRICICLO	CONDUCTOR	76	M	0	CAMIONETA	RUTA 3 km. 380	401458,5223	6424009,659
23/01/2016 02:15	RIO NEGRO	FRAY BENTOS	NACIONAL	DESPISTE	MOTO	CONDUCTOR	18	M	0		RUTA 2 km. 308,500	380142,3416	6332004,32
23/01/2016 06:00	SAN JOSE	CIUDAD DEL PLATA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	38	M	9	CAMIONETA	RUTA 1 km. 26	558632,2977	6151607,694
23/01/2016 23:49	CANELONES	LAS PIEDRAS	DEPARTAMENTAL	DESPISTE	MOTO	CONDUCTOR	30	M	24		GENERAL ARTIGAS esq. CAMINO AL OBELISCO	572845,8396	6157045,188
24/01/2016 14:07	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	68	F	3	AUTO	RAMBLA REPUBLICA DEL PERU esq. JOSE MARTI	577845,9332	6136190,905
25/01/2016 02:42	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	18	F	0	MOTO	GRECIA esq. BERNA	568466,1697	6140357,62
25/01/2016 05:55	CERRO LARGO	N/C	NACIONAL	DESPISTE	CAMIONETA	PASAJERO	13	F	1		RUTA 8 km. 356	761206,228	6381508,012
25/01/2016 05:55	CERRO LARGO	N/C	NACIONAL	DESPISTE	CAMIONETA	CONDUCTOR	62	M	1		RUTA 8 km. 356	761206,228	6381508,012
25/01/2016 18:50	PAYSANDU	TAMBORES	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	43	M	23	MOTO	CALLE 16 esq. JACINTO GONZÁLEZ	571577,5939	6472473,274
26/01/2016 16:15	ROCHA	N/C	NACIONAL	DESPISTE	AUTO	CONDUCTOR	49	F	0		RUTA 10 km. 210	727838,9879	6149220,966
28/01/2016 21:30	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	20	M	0	OMNIBUS	CONCILIACION esq. DOCTOR MARTIN BERINDUAGUE	570971,5383	6141932,141
29/01/2016 22:51	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	42	M	0	AUTO	AVENIDA ITALIA  esq. CANDELARIA	581219,2182	6139123,514
31/01/2016 19:00	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	CAÍDA	MOTO	CONDUCTOR	38	M	0		MAESTRA MARIA MANRUPE esq. ACTRIZ ANGELA TESADA	580332,6603	6142644,482
01/02/2016 04:26	CANELONES	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	20	M	1	CAMION	RUTA 32 km. 32	575619,6427	6167949,452
02/02/2016 00:01	TREINTA Y TRES	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	CONDUCTOR	68	M	1	CAMION	RUTA 8 km. 273	735865,11	6309994,43
04/02/2016 20:00	COLONIA	NUEVA HELVECIA	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	25	M	1	AUTO	F. GILOMEN esq. GUILLERMO TELL	478223,2484	6206123,46
04/02/2016 20:35	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	BICICLETA	CONDUCTOR	30	F	1	AUTO	RAMBLA PRESIDENTE WILSON esq. JUAN JACKSON	575593,5553	6136122,236
04/02/2016 23:30	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	78	M	11	OMNIBUS	ATAHONA esq. REYES	573915,6951	6143050,548
05/02/2016 16:04	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	62	F	0	AUTO	RAMBLA SUR esq. ANDES	573339,256	6136472,942
05/02/2016 18:00	SORIANO	N/C	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	22	M	1	CAMION	RUTA 105 km. 22,500	377140,545	6304127,613
06/02/2016 00:28	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	PASAJERO	19	F	1	CAMIONETA	AVENIDA GENERAL FLORES esq. GRONARDO	577472,1181	6144058,17
06/02/2016 05:33	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	65	M	1	MOTO	CAMINO DE LA PAZ A MENDOZA esq. CAMINO PASO CALPINO	571786,4086	6152606,296
06/02/2016 19:00	COLONIA	CARMELO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	20	M	1	AUTO	DIECINUEVE DE ABRIL esq. GENERAL JOSE G. ARTIGAS	381600,1862	6238175,437
07/02/2016 23:30	CERRO LARGO	FRAILE MUERTO	NACIONAL	DESPISTE	CAMIONETA	CONDUCTOR	70	M	0		RUTA 7 km. 351	730597,9894	6399403,497
09/02/2016 05:00	COLONIA	COLONIA COSMOPOLITA	DEPARTAMENTAL	CAÍDA	MOTO	CONDUCTOR	49	M	0		CAMINO COSMOPOLITA esq. PEDRO BOUNOUS	463121,3764	6195011,062
11/02/2016 07:12	MONTEVIDEO	MONTEVIDEO	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	24	M	0	CAMION	RAMBLA DOCTOR BALTASAR BRUM esq. SAN RAMON	572348,0288	6140329,857
12/02/2016 05:19	MALDONADO	SAN RAFAEL	DEPARTAMENTAL	DESPISTE	MOTO	CONDUCTOR	20	M	0		GENERAL APARICIO esq. DOCTOR ELIAS REGULES	692229,9957	6134174,918
12/02/2016 16:30	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	BICICLETA	CONDUCTOR	39	M	0	AUTO	AVENIDA LEZICA esq. CALDERON DE LA BARCA	570664,2185	6148454,799
12/02/2016 20:00	MALDONADO	SAN CARLOS	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	44	M	0	AUTO	CARLOS SEIJO esq. DOCTOR ASCHERI	689939,7172	6147351,59
14/02/2016 12:20	RIVERA	N/C	NACIONAL	DESPISTE	CAMIONETA	PASAJERO	N	M	21		RUTA 28 km. 80	655899,36	6545173,82
14/02/2016 18:23	CANELONES	FORTIN DE SANTA ROSA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	23	M	1	AUTO	RUTA INTERBALNEARIA km. 41,800 	609034,2	6151895,35
14/02/2016 21:35	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	PASAJERO	69	M	0	CAMIONETA	CUBA esq. PERU	567701,3737	6140034,378
17/02/2016 09:48	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	58	M	0	OMNIBUS	CAMINO CARMELO COLMAN esq. RUTA CESAR MAYO GUTIERREZ	570930,7981	6149143,825
17/02/2016 11:05	ARTIGAS	ARTIGAS	DEPARTAMENTAL	CAÍDA	MOTO	CONDUCTOR	65	M	1		WILSON FERREIRA ALDUNATE esq. MIGUEL BARREIRO	551414,6457	6635310,376
17/02/2016 23:10	SAN JOSE	CIUDAD DEL PLATA	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	29	M	0	OMNIBUS	CEYLAN esq. AVENIDA DEL TIGRE	558650,6297	6152374,992
23/02/2016 15:00	ARTIGAS	ARTIGAS	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	PASAJERO	16	F	1	CAMION	CIUDAD DE QUARAI esq. PARAGUAY	551261,1519	6635007,61
24/02/2016 13:00	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	AUTO	PASAJERO	85	M	4	AUTO	MARIA ORTICOCHEA esq. CAMINO CASTRO	572990,1721	6143274,061
27/02/2016 14:30	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	73	F	1	CAMIONETA	MARTIN GARCIA esq. ACEVEDO DIAZ	576000,0596	6139155,007
27/02/2016 15:45	FLORIDA	N/C	NACIONAL	DESPISTE	CAMIONETA	CONDUCTOR	45	M	1		RUTA 7 km. 196	665472,75	6290225,21
27/02/2016 17:50	MALDONADO	N/C	NACIONAL	DESPISTE	AUTO	CONDUCTOR	29	M	0		RUTA 9 km. 174,200	720400,8508	6157028,188
28/02/2016 03:50	MALDONADO	MALDONADO	DEPARTAMENTAL	DESPISTE	AUTO	CONDUCTOR	38	M	0		RUTA 39 km. 8	687487,0248	6139773,619
