FECHA Y HORA;DEPARTAMENTO;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;DIRECCION;X;Y
10/03/2017 13:02;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;16;F;0;CAMION;RUTA 5 KM. 7,500;568216,253;6144009,829
10/03/2017 13:02;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;0;M;0;CAMION;RUTA 5 KM. 7,500;568216,253;6144009,829
12/03/2017 01:00;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;31;M;0;AUTO;RUTA INTERBALNEARIA KM 64,000;630544,71;6151340,2
12/03/2017 10:37;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;23;M;0;AUTO;RUTA 11 KM 131,500;596532,28;6178581,15
12/03/2017 10:37;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;23;M;0;AUTO;RUTA 11 KM 131,500;596532,28;6178581,15
12/03/2017 20:00;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;27;M;0;AUTO;RUTA 1 KM 9,100;566599,16;6143085
12/03/2017 19:34;CANELONES;NACIONAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;75;F;3;MOTO;CAMINO CARRASCO Y GRAÑA;586244,5503;6141668,654
12/03/2017 20:40;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;28;M;0;MOTO;RUTA 48 KM 3,300;557375,74;6162879,82
12/03/2017 20:40;CANELONES;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;23;M;1;MOTO;RUTA 48 KM 3,300;557375,74;6162879,82
13/03/2017 23:05;CANELONES;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;67;M;1;;RUTA 5 VIEJA KM. 57,000;565835,0103;6189993,663
13/03/2017 20:37;CANELONES;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;66;M;0;CAMIONETA;RAMBLA COSTANERA ESQ. AMELIA RAMIREZ;597500,7088;6145881,094
14/03/2017 11:39;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;69;M;0;OMNIBUS;RAMBLA DEL PERU ESQ. JUAN MARÍA PÉREZ;577743,8887;6135697,652
16/03/2017 13:05;SALTO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;19;M;0;CAMION;CALLE UNO Y AVENIDA APOLON;413172,4893;6527808,899
18/03/2017 13:58;CANELONES;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;27;M;1;AUTO;DR. LUIS BATLLE BERRES ESQ. AV. GENERAL FLORES;570715,0041;6156813,332
18/03/2017 18:25;CANELONES;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;28;F;1;AUTO;CAMINO AL PARQUE BONOMI ;585546,0489;6167425,364
20/03/2017 14:53;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;23;M;6;CAMION;CAMINO MALDONADO ESQ. ARIES;582132,2624;6146071,791
21/03/2017 13:00;MALDONADO;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;18;M;5;;MAR ESQ. DELICIAS;688692,5334;6132524,794
24/03/2017 19:06;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;PASAJERO;21;F;0;AUTO;RUTA DE ACCESO KM. 3500;570092,2347;6140876,49
24/03/2017 18:40;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;20;M;1;MOTO;EMILIO ZOLA ESQ. SALUSTIO;577223,8675;6144296,095
24/03/2017 19:08;MONTEVIDEO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;20;M;0;CAMIONETA;RUTA 8 KM 18000;585217,24;6149707,07
24/03/2017 21:12;MALDONADO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;19;F;0;CAMIONETA;RUTA 9 KM 123,700;677696,17;6154814,62
24/03/2017 21:40;CANELONES;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;51;M;1;CAMIONETA;CNO. LOS HORNEROS ENTRADA BARRIO CARMEL;593534,1003;6150000,4
25/03/2017 18:45;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;15;M;0;MOTO;CONTINUACIÓN BATLLE Y ORDOÑEZ Y ANTONIO LARRAÑAGA;767780,87;6414858,891
25/03/2017 18:45;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;16;M;1;MOTO;CONTINUACIÓN BATLLE Y ORDOÑEZ Y ANTONIO LARRAÑAGA;767780,87;6414858,891
25/03/2017 22:00;SAN JOSE;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;88;F;0;;RUTA 1 KM 88,000;506278,43;6188822,86
26/03/2017 15:30;ROCHA;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;11;M;0;;RUTA 19 KM 36,400;800049,7425;6278695,049
27/03/2017 15:30;CANELONES;DEPARTAMENTAL;CAÍDA;CARRO;CONDUCTOR;53;M;1;;PASO GARÚA ESQ. 18 DE JULIO;556979,6509;6178474,169
27/03/2017 19:05;COLONIA;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;18;M;1;CAMION;ZORRILLA DE SAN MARTÍN ESQ. ÉXODO;425236,4781;6244424,642
