Fecha y hora;Departamento;Jurisdicci®n ;Tipo de siniestro;VehÐculo;Rol;Edad;Sexo;Fallecido a los (DÐas);Otro vehÐculo;Lugar del Siniestro
12/08/2013 13:45;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;18;M;0;CAMION;PANTALEON ARTIGAS esq. ELBA
12/08/2013 21:55;ROCHA;NACIONAL;DESPISTE;AUTO;CONDUCTOR;52;M;0;;RUTA 9 km. 289
12/08/2013 21:55;ROCHA;NACIONAL;DESPISTE;AUTO;PASAJERO;68;F;0;;RUTA 9 km. 289
13/08/2013 08:40;CANELONES;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;54;M;0;CAMIONETA;CAMINO DE LOS HORNEROS
13/08/2013 10:20;DURAZNO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;71;M;1;CAMION;CUATRO DE OCTUBRE DE 1828 esq. JOAQUIN SUAREZ
13/08/2013 13:30;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;0;CAMION;RUTA 5 esq. CAMINO DE LAS TROPAS --CERRO NORTE - LA PALOMA--
13/08/2013 14:35;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;25;F;0;CAMION;AVENIDA DEL PARQUE
13/08/2013 19:40;PAYSANDU;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;CAMION;LIBERTAD esq. RIO NEGRO
13/08/2013 22:22;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;21;M;1;AUTO;AVENIDA INGENIERO LUIS GIANNATTASIO esq. CRUZ DEL SUR
14/08/2013 06:25;MALDONADO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;38;M;2;CAMIONETA;RUTA 37 km. 8
16/08/2013 10:22;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;79;M;0;AUTO;AVENIDA OCHO DE OCTUBRE esq. COLONIA
17/08/2013 07:55;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;60;M;0;AUTO;CAMINO LUIS EDUARDO PEREZ esq. CAMINO DE LA GRANJA
18/08/2013 07:40;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;24;M;0;CAMIONETA;AVENIDA DE LAS INSTRUCCIONES esq. BOULEVARD APARICIO SARAVIA
18/08/2013 08:30;CANELONES;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;36;M;0;;GENERAL ARTIGAS esq. LOS MIMBRES
